id,price
Bawang Merah/Aceh/2024-10-01,29218.57973448805
Bawang Merah/Aceh/2024-10-02,29386.132680816136
Bawang Merah/Aceh/2024-10-03,29538.638146701323
Bawang Merah/Aceh/2024-10-04,29675.898728964883
Bawang Merah/Aceh/2024-10-05,29806.67344361059
Bawang Merah/Aceh/2024-10-06,29972.27431878933
Bawang Merah/Aceh/2024-10-07,30170.465592942965
Bawang Merah/Aceh/2024-10-08,30315.630133666997
Bawang Merah/Aceh/2024-10-09,30405.57291649229
Bawang Merah/Aceh/2024-10-10,30478.568655535397
Bawang Merah/Aceh/2024-10-11,30512.035908351936
Bawang Merah/Aceh/2024-10-12,30753.250930364266
Bawang Merah/Aceh/2024-10-13,30943.98700658237
Bawang Merah/Aceh/2024-10-14,31082.48707291966
Bawang Merah/Aceh/2024-10-15,31220.27972005074
Bawang Merah/Aceh/2024-10-16,31355.47144541272
Bawang Merah/Aceh/2024-10-17,31490.542115156863
Bawang Merah/Aceh/2024-10-18,31655.747647842323
Bawang Merah/Aceh/2024-10-19,31848.754292841302
Bawang Merah/Aceh/2024-10-20,31986.722236281563
Bawang Merah/Aceh/2024-10-21,32066.006668465918
Bawang Merah/Aceh/2024-10-22,32123.511795718267
Bawang Merah/Aceh/2024-10-23,32136.935044603084
Bawang Merah/Aceh/2024-10-24,32404.842206529564
Bawang Merah/Aceh/2024-10-25,32590.074027681843
Bawang Merah/Aceh/2024-10-26,32707.356652105853
Bawang Merah/Aceh/2024-10-27,32818.41672230177
Bawang Merah/Aceh/2024-10-28,32922.06200452
Bawang Merah/Aceh/2024-10-29,33023.38650769174
Bawang Merah/Aceh/2024-10-30,33157.25409698825
Bawang Merah/Aceh/2024-10-31,33321.365574446594
Bawang Merah/Aceh/2024-11-01,33431.715728804375
Bawang Merah/Aceh/2024-11-02,33485.25866603483
Bawang Merah/Aceh/2024-11-03,33519.46450768992
Bawang Merah/Aceh/2024-11-04,33511.90829687137
Bawang Merah/Aceh/2024-11-05,33739.74370105856
Bawang Merah/Aceh/2024-11-06,33898.748943961255
Bawang Merah/Aceh/2024-11-07,33996.76498889124
Bawang Merah/Aceh/2024-11-08,34091.256552993924
Bawang Merah/Aceh/2024-11-09,34180.73313674205
Bawang Merah/Aceh/2024-11-10,34269.192204410785
Bawang Merah/Aceh/2024-11-11,34389.56901961942
Bawang Merah/Aceh/2024-11-12,34539.544612195845
Bawang Merah/Aceh/2024-11-13,34635.59488553477
Bawang Merah/Aceh/2024-11-14,34674.41878046423
Bawang Merah/Aceh/2024-11-15,34693.24509976077
Bawang Merah/Aceh/2024-11-16,34669.694908530844
Bawang Merah/Aceh/2024-11-17,34889.85345898769
Bawang Merah/Aceh/2024-11-18,35035.74726636236
Bawang Merah/Aceh/2024-11-19,35118.086049495854
Bawang Merah/Aceh/2024-11-20,35196.10850680807
Bawang Merah/Aceh/2024-11-21,35268.44391339337
Bawang Merah/Aceh/2024-11-22,35339.54274438919
Bawang Merah/Aceh/2024-11-23,35443.140607184505
Bawang Merah/Aceh/2024-11-24,35576.92227038631
Bawang Merah/Aceh/2024-11-25,35657.15838949802
Bawang Merah/Aceh/2024-11-26,35680.65001408453
Bawang Merah/Aceh/2024-11-27,35684.722338554304
Bawang Merah/Aceh/2024-11-28,35646.972955973135
